"","week","home_team","home_points","away_team","away_points","conference_game"
"114",2,"Indiana",52,"Eastern Illinois",0,FALSE
"115",2,"Appalachian State",56,"Charlotte",41,FALSE
"116",2,"Louisiana Tech",20,"Grambling",14,FALSE
"117",2,"UMass",20,"Southern Illinois",45,FALSE
"118",2,"Baylor",63,"UT San Antonio",14,FALSE
"119",2,"Colorado State",38,"Western Illinois",13,FALSE
"120",2,"Alabama",62,"New Mexico State",10,FALSE
"121",2,"Georgia",63,"Murray State",17,FALSE
"122",2,"UCLA",14,"San Diego State",23,FALSE
"123",2,"Florida State",45,"Louisiana Monroe",44,FALSE
"124",2,"Washington State",59,"Northern Colorado",17,FALSE
"125",2,"Georgia Southern",26,"Maine",18,FALSE
"126",2,"East Carolina",48,"Gardner-Webb",9,FALSE
"127",2,"Duke",45,"North Carolina A&T",13,FALSE
"128",2,"Tennessee",26,"BYU",29,FALSE
"129",2,"Middle Tennessee",45,"Tennessee State",26,FALSE
"130",2,"Oklahoma State",56,"McNeese",14,FALSE
"131",2,"Florida International",14,"Western Kentucky",20,TRUE
"132",2,"South Alabama",37,"Jackson State",14,FALSE
"133",2,"Texas State",14,"Wyoming",23,FALSE
"134",2,"Georgia State",48,"Furman",42,FALSE
"135",2,"SMU",49,"North Texas",27,FALSE
"136",2,"Kansas",7,"Coastal Carolina",12,FALSE
"137",2,"Florida Atlantic",14,"UCF",48,FALSE
"138",2,"Oklahoma",70,"South Dakota",14,FALSE
"139",2,"Louisville",42,"Eastern Kentucky",0,FALSE
"140",2,"Texas",38,"LSU",45,FALSE
"141",2,"Penn State",45,"Buffalo",13,FALSE
"142",2,"Oregon",77,"Nevada",6,FALSE
"143",2,"Michigan State",51,"Western Michigan",17,FALSE
"144",2,"Auburn",24,"Tulane",6,FALSE
"145",2,"Florida",45,"UT Martin",0,FALSE
"146",2,"Louisiana",35,"Liberty",14,FALSE
"147",2,"Ole Miss",31,"Arkansas",17,TRUE
"148",2,"Utah State",62,"Stony Brook",7,FALSE
"149",2,"Kentucky",38,"Eastern Michigan",17,FALSE
"150",2,"Houston",37,"Prairie View",17,FALSE
"151",2,"North Carolina",28,"Miami",25,TRUE
"152",2,"Texas Tech",38,"UTEP",3,FALSE
"153",2,"San José State",16,"Tulsa",34,FALSE
"154",2,"UNLV",17,"Arkansas State",43,FALSE
"155",2,"Fresno State",35,"Minnesota",38,FALSE
"156",2,"Washington",19,"California",20,TRUE
"157",2,"USC",45,"Stanford",20,TRUE
"158",2,"Arizona",65,"Northern Arizona",41,FALSE
"159",2,"Hawai'i",31,"Oregon State",28,FALSE
"160",3,"Wake Forest",24,"North Carolina",18,FALSE
"161",3,"Boston College",24,"Kansas",48,FALSE
"162",3,"Houston",24,"Washington State",31,FALSE
"163",3,"Penn State",17,"Pittsburgh",10,FALSE
"164",3,"Tennessee",45,"Chattanooga",0,FALSE
"165",3,"Indiana",10,"Ohio State",51,TRUE
"166",3,"Temple",20,"Maryland",17,FALSE
"167",3,"Illinois",31,"Eastern Michigan",34,FALSE
"168",3,"West Virginia",44,"NC State",27,FALSE
"169",3,"Mississippi State",24,"Kansas State",31,FALSE
"170",3,"Cincinnati",35,"Miami (OH)",13,FALSE
"171",3,"Georgia",55,"Arkansas State",0,FALSE
"172",3,"Virginia Tech",24,"Furman",17,FALSE
"173",3,"Georgia Tech",24,"The Citadel",27,FALSE
"174",3,"Colorado",23,"Air Force",30,FALSE
"175",3,"Coastal Carolina",46,"Norfolk State",7,FALSE
"176",3,"Ball State",31,"Florida Atlantic",41,FALSE
"177",3,"Notre Dame",66,"New Mexico",14,FALSE
"178",3,"Central Michigan",45,"Akron",24,TRUE
"179",3,"UT San Antonio",13,"Army",31,FALSE
"180",3,"South Alabama",6,"Memphis",42,FALSE
"181",3,"Navy",42,"East Carolina",10,TRUE
"182",3,"South Carolina",23,"Alabama",47,TRUE
"183",3,"BYU",30,"USC",27,FALSE
"184",3,"Northwestern",30,"UNLV",14,FALSE
"185",3,"Tulsa",21,"Oklahoma State",40,FALSE
"186",3,"Minnesota",35,"Georgia Southern",32,FALSE
"187",3,"UCF",45,"Stanford",27,FALSE
"188",3,"Michigan State",7,"Arizona State",10,FALSE
"189",3,"Iowa State",17,"Iowa",18,FALSE
"190",3,"Western Kentucky",21,"Louisville",38,FALSE
"191",3,"Ole Miss",40,"Southeastern Louisiana",29,FALSE
"192",3,"Arkansas",55,"Colorado State",34,FALSE
"193",3,"Miami",63,"Bethune-Cookman",0,FALSE
"194",3,"California",23,"North Texas",17,FALSE
"195",3,"Oregon State",45,"Cal Poly",7,FALSE
"196",3,"Utah",31,"Idaho State",0,FALSE
"197",3,"Wyoming",21,"Idaho",16,FALSE
"198",3,"Bowling Green",7,"Louisiana Tech",35,FALSE
"199",3,"Charlotte",52,"UMass",17,FALSE
"200",3,"Liberty",35,"Buffalo",17,FALSE
"201",3,"South Florida",55,"South Carolina State",16,FALSE
"202",3,"Troy",42,"Southern Mississippi",47,FALSE
"203",3,"Marshall",33,"Ohio",31,FALSE
"204",3,"SMU",47,"Texas State",17,FALSE
"205",3,"Toledo",45,"Murray State",0,FALSE
"206",3,"Middle Tennessee",18,"Duke",41,FALSE
"207",3,"Western Michigan",57,"Georgia State",10,FALSE
"208",3,"Nevada",19,"Weber State",13,FALSE
"209",3,"Florida International",30,"New Hampshire",17,FALSE
"210",3,"Auburn",55,"Kent State",16,FALSE
"211",3,"Kentucky",21,"Florida",29,TRUE
"212",3,"Texas A&M",62,"Lamar",3,FALSE
"213",3,"Washington",52,"Hawai'i",20,FALSE
"214",3,"Syracuse",6,"Clemson",41,TRUE
"215",3,"LSU",65,"Northwestern State",14,FALSE
"216",3,"Louisiana",77,"Texas Southern",6,FALSE
"217",3,"Missouri",50,"Southeast Missouri State",0,FALSE
"218",3,"Purdue",13,"TCU",34,FALSE
"219",3,"Virginia",31,"Florida State",24,TRUE
"220",3,"Tulane",58,"Missouri State",6,FALSE
"221",3,"UCLA",14,"Oklahoma",48,FALSE
"222",3,"Nebraska",44,"Northern Illinois",8,FALSE
"223",3,"New Mexico State",10,"San Diego State",31,FALSE
"224",3,"Rice",13,"Texas",48,FALSE
"225",3,"Boise State",45,"Portland State",10,FALSE
"226",3,"Arizona",28,"Texas Tech",14,FALSE
"227",3,"Oregon",35,"Montana",3,FALSE
"228",4,"Tulane",38,"Houston",31,TRUE
"229",4,"Louisiana Tech",43,"Florida International",31,TRUE
"230",4,"USC",30,"Utah",23,TRUE
"231",4,"Boise State",30,"Air Force",19,TRUE
"232",4,"Indiana",38,"Connecticut",3,FALSE
"233",4,"Army",52,"Morgan State",21,FALSE
"234",4,"Ole Miss",20,"California",28,FALSE
"235",4,"Syracuse",52,"Western Michigan",33,FALSE
"236",4,"Florida",34,"Tennessee",3,TRUE
"237",4,"Alabama",49,"Southern Mississippi",7,FALSE
"238",4,"Iowa State",72,"Louisiana Monroe",20,FALSE
"239",4,"Vanderbilt",38,"LSU",66,TRUE
"240",4,"Northwestern",10,"Michigan State",31,TRUE
